,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOF Name,Ref Code,Application,Recommendation,Justification,Source,Original Application Name
1324,1324,426.0,426,"Al(OH)(1,4-NDC)·2H2O<|>compound 1",WOJJOV,Carbon Storage,Recommended,"The saturation capacity of CO2 is up to 138 cm3(STP) g−1, corresponding to 1.6 CO2 moles per mole of naphthalene moiety.",10.1021/ja802589u,Storage of carbon dioxide
1338,1338,440.0,440,[Gd2(pam)3(DMF)2(H2O)2]·nDMF<|>complex 1,SOJSUH,Magnetic Refrigeration,Recommended,The magnetic characterization reveals that complex 1 shows cryogenic magnetic refrigeration properties.,10.1021/cg401804e,Cryogenic magnetic refrigeration
1339,1339,441.0,441,[Gd2(pam)3(DMF)2(H2O)2]·nDMF<|>complex 1,SOJSUH,Carbon Capture,Recommended,Complexes 1 and 2 exhibit high methanol vapor uptake and selectivity toward CO2 sorption over other gases.,10.1021/cg401804e,CO2 sorption
1340,1340,442.0,442,[Dy2(pam)3(DMF)2(H2O)2]·nDMF<|>complex 2,FOBNAN,Carbon Capture,Recommended,Complexes 1 and 2 exhibit high methanol vapor uptake and selectivity toward CO2 sorption over other gases.,10.1021/cg401804e,CO2 sorption
1341,1341,443.0,443,[Dy2(pam)3(DMF)2(H2O)2]·nDMF<|>complex 2,FOBNAN,Photoluminescence,Investigated,"So, the aforementioned photoluminescent behavior of both complexes demonstrates that they may be potential candidates for photoluminescent materials.",10.1021/cg401804e,Photoluminescent materials
1346,1346,448.0,448,MOF 3<|>Compound 3,OWIZAW,Hydrogen Storage,Investigated,Hydrogen adsorption isotherms of MOFs 3 and 4(b) at 77 K.,10.1021/ic1009169,Hydrogen sorption
1350,1350,452.0,452,MOF-602<|>Cu2(2-MeBPDC)2·(DMA)2,KOJZIT,Carbon Capture,Investigated,"Similarly, there is no specific relationship between CO2 uptake and the surface area of the materials because of the large saturation pressure of CO2 (P0= 26 140 Torr at 273 K). MOF-601 (R = CNBPDC) exhibits a steep uptake in the low-pressure region, while MOF-602 (R = 2-MeBPDC) adsorbs only one-third of the amount of CO2 at 200 Torr compared with MOF-601, despite the fact that MOF-602 has almost the same pore metrics and topology as MOF-601.",10.1021/ja803783c,CO2 separation
1351,1351,453.0,453,MOF-601<|>Cu2(CNBPDC)2·(DMF)2,KOJZEP,Carbon Capture,Recommended,"MOF-601 (R = CNBPDC) exhibits a steep uptake in the low-pressure region, while MOF-602 (R = 2-MeBPDC) adsorbs only one-third of the amount of CO2 at 200 Torr compared with MOF-601, despite the fact that MOF-602 has almost the same pore metrics and topology as MOF-601. The interaction of CO2 with MOF-601 must therefore be stronger, and this effect is more important than the geometry of the pores in the low-pressure region. The reason for this may be seen by comparing the quadrupole moments of cyanobenzene and toluene, 16 and −8 B, respectively (1 B = 1 D·Å); for example, the cyano groups in MOF-601 are more attractive to CO2 (−4.3 B) because of the quadrupole−quadrupole interaction.",10.1021/ja803783c,CO2 separation
1364,1364,466.0,466,CuL-Br<|>CuL-BrandCuL-Cl<|>CuL-Brcrystallizes,GEFYUN,Carbon Capture,Investigated,"Similar sorption properties have also been revealed by the CO2 profiles of CuL-Br and CuL-PF at 195 K. The CO2 isotherms of CuL-Br reveal a gradual uptake (final uptake 47 mL g–1) without apparent hysteresis, while those of CuL-PF show stepwise sorption (final uptake >103 mL g–1) with large hysteresis. In addition, both the MOFs favor CO2 over Ar in porous adsorption.",10.1021/cm202608f,CO2 Adsorption
1377,1377,479.0,479,Tb(BTC)(DMF)(DMSO)<|>compound 1,SEHSII,Photoluminescence,Recommended,"Compound 1 exhibits the characteristic emission of terbium ions, and all of these compounds show blue emissions. Thus, these compounds could be anticipated as potential fluorescent materials.",10.1021/ic060116h,Fluorescent materials
1407,1407,509.0,509,Cd3(BOABA)2(H2O)6·6H2O<|>compound 3,POKFUR,Photoluminescence,Investigated,"In this paper, we report the synthesis and structural characterization of a new family of luminescent MOFs: Zn2(BOABA)(OH)·H2O (1), Zn4(BOABA)2(4,4′-bipy)2(OH)2·H2O·0.5CH3CH2OH (2), Cd3(BOABA)2(H2O)6·6H2O (3), and Cd4(BOABA)2(phen)4(OH)2·H2O (4). These four MOFs display structure-related photoluminescence properties in the solid state.",10.1021/cg8000398,Photoluminescence
1408,1408,510.0,510,"Zn4(BOABA)2(4,4′-bipy)2(OH)2·H2O·0.5CH3CH2OH<|>compound 2",POKFOL,Photoluminescence,Investigated,"In this paper, we report the synthesis and structural characterization of a new family of luminescent MOFs: Zn2(BOABA)(OH)·H2O (1), Zn4(BOABA)2(4,4′-bipy)2(OH)2·H2O·0.5CH3CH2OH (2), Cd3(BOABA)2(H2O)6·6H2O (3), and Cd4(BOABA)2(phen)4(OH)2·H2O (4). These four complexes are all based on the assembly of 3,5-bis-oxyacetate-benzoic acid and diimine ligands with Zn(II) and Cd(II) under hydrothermal conditions (Scheme). The results show that the BOABA ligand not only has versatile traits of coordination chemistry (Scheme) but also can form novel framework topologies, such as an unknown 5-connected 46.64 uninodal net and (3,8)-connected (43)2(46.617.85) net.",10.1021/cg8000398,Photoluminescence
1418,1418,520.0,520,NOTT-116<|>cuboctahedra,LURRIA,Hydrogen Storage,Investigated,"The document mentions ""Metal−Organic Polyhedral Frameworks: High H2 Adsorption Capacities and Neutron Powder Diffraction Studies,"" indicating that the MOF is being investigated for hydrogen adsorption. However, there is no explicit recommendation provided.",10.1021/ja1001407,Hydrogen adsorption
1438,1438,540.0,540,ZJU-40a<|>ZJU-40,OSOTIB,Hydrocarbon Separation,Recommended,"In summary, we have designed and synthesized a new MOF (ZJU-40a) with a high density of Lewis basic nitrogen sites, exhibiting an exceptionally high C2H2 uptake of 216 cm3g–1 at 298 K and 1 bar. This capacity not only is significantly higher than that of NOTT-101a but also sets the second highest material for C2H2 storage. Such an ultrahigh C2H2 uptake capacity was mainly attributed to the introduction of functional pyrazine groups with Lewis basic nitrogen sites into the pore surfaces and the suitable pore sizes. However, the immobilized Lewis basic nitrogen sites in ZJU-40a show a negligible effect on the CO2 storage capacity, leading to significantly enhanced C2H2/CO2 selectivity for ZJU-40a compared to that of NOTT-101a, whose value is notably higher than those of the most promising MOFs, such as HKUST-1 and UTSA-50a.",10.1021/acs.inorgchem.6b00748,C2H2 storage and C2H2/CO2 separation
1447,1447,549.0,549,[(CuCN)3(fptu)2],TULXUV,Light Emitting Diodes,Recommended,This promising luminescent behavior opens up possible applications for these compounds as sensing molecular devices or organic light emitting diodes (OLEDs).,10.1021/acs.cgd.5b00352,Organic light emitting diodes (OLEDs)
1460,1460,562.0,562,[H2pip][CdCu4(SO3)4]<|>compound 2,KUGCOF,Light Emitting Diodes,Investigated,Compound 2 may be potential materials for blue-light-emitting diode devices.,10.1021/ic900487j,Blue-light-emitting diode devices
1467,1467,569.0,569,[Pb(ptc)(glu)]<|>compound 8,MOXYUU,Photoluminescence,Investigated,The luminescence properties of the compounds demonstrate that they may be good candidates for luminescence materials.,10.1021/cg801085d,Luminescence materials
1468,1468,570.0,570,"[Pb(ptc)(1,3-bdc)]<|>compound 11",MOXZIJ,Photoluminescence,Investigated,The luminescence properties of the compounds demonstrate that they may be good candidates for luminescence materials.,10.1021/cg801085d,Luminescence materials
1469,1469,571.0,571,[Pb(ptc)(chdc)]<|>compound 9,MOXZAB,Photoluminescence,Investigated,The luminescence properties of the compounds demonstrate that they may be good candidates for luminescence materials.,10.1021/cg801085d,Luminescence materials
1473,1473,575.0,575,[Gd2(suc)3(H2O)2]·0.5H2O<|>compound 5,XETPOC,Magnetic Material,Investigated,Coordination polymers of rare-earth metals have received significant attention in the current research because of their wide range of application such as magnetic material...,10.1021/ic060807d,Magnetic material
1474,1474,576.0,576,Al-soc-MOF-1<|>compound 1,MUZKEZ,Methane Storage,Recommended,"It was found that Al-soc-MOF-1 has one of the highest ever total and working gravimetric CH4 uptakes at 35 bar and higher pressures at any given temperature. In contrast to all other best MOFs reported to date in the open literature for CH4 storage, the parent Al-soc-MOF-1 sorption studies revealed an enhancement in the volumetric CH4 storage working capacity when the temperature was decreased. Particularly, at 258 K and 80 bar, the Al-soc-MOF-1 fulfilled the Department of Energy (DOE) target (both gravimetric and volumetric) and exhibited the highest working volumetric capacity of 264 cm3(STP)/cm3.",10.1021/jacs.5b07053,Methane (CH4) storage
1476,1476,578.0,578,Al-soc-MOF-1<|>compound 1,MUZKEZ,Carbon Capture,Recommended,"Additionally, the CO2 adsorption studies revealed that Al-soc-MOF-1 exhibits an exceptional absolute gravimetric CO2 uptake at 40 bar of 2 g/g (1020 cm3(STP)/g) vs 1.5 g/g for MOF-177, setting a new record among microporous MOFs.",10.1021/jacs.5b07053,Carbon dioxide (CO2) storage
1477,1477,579.0,579,Al-soc-MOF-1<|>compound 1,MUZKEZ,Hydrogen Storage,Recommended,"Finally, it is worth noting that Al-soc-MOF-1 also exhibits an excellent H2 storage capacity at 77 K (ca.11 wt %) (Figure S40 in the Supporting Information) at high pressure (30 bar) in comparison to other highly porous materials.",10.1021/jacs.5b07053,Hydrogen (H2) storage
1479,1479,581.0,581,∞1[Zn(tfBDC)(H2O)4]<|>compound 3,PAMHAO,Hydrogen Storage,Investigated,"One of these applications, their potential as hydrogen storage materials, is of considerable interest and has led to numerous publications.",10.1021/cg200974h,Hydrogen storage
1482,1482,584.0,584,MAF-2<|>Cu(etz),AJABIX01,Hydrocarbon Separation,Recommended,"The discovery of novel porous materials for acetylene (C2H2) adsorption has attracted great attention due to the difficulties in storage and purification of this important gas... The exceptional C−2H2/CO2 sorption behaviors of MAF-2 would allow PSA purification to be performed at near-ambient conditions, which is beneficial for practical applications.",10.1021/ja8089872,Acetylene (C2H2) storage and purification
1484,1484,586.0,586,Cd3(MTz)3Cl3<|>compound 3,WIFGOJ,Hydrogen Storage,Investigated,"To evaluate the hydrogen storage efficiency, fresh crystals of 3 were activated by placing them in a vacuum at 140 °C for 12 h, and the hydrogen sorption isotherms were measured from low pressure to 870 mmHg at 77 K. There were different micropores within 3 with sizes of 9–10 Å and 4–5 Å. Its accessible framework free volume was calculated to be 32.7% with PLATON. As shown in Figure S29, the moderate hydrogen uptake of sample 3 is up to 0.82 wt % at 77 K and 1 atm, which can be ascribed to the suitable hydrophobic cavity involving the methyl groups.",10.1021/cg3009249,Hydrogen storage
1485,1485,587.0,587,Co3(ina)4(OH)(C2H5OH)3·C2H5OH·(H2O)3<|>1<|>MCF-38,OXANOR,Hydrogen Storage,Investigated,"""The H2storage capacity and magnetic properties of1have also been characterized."" ""A high-pressure H2adsorption isotherm of1at 77 K (Figure) exhibits an increase in the adsorbed amount of hydrogen gas as the pressure up to approximately 5 bar, where the H2uptake is 242 cm3(STP)·g−1."" ""Although the maximum uptake of H2is relatively low in comparison to other PCPs with the high capacity reported to date (3.44−7.52 wt %),the performance of1at low pressures compares favorably with the literature examples.""",10.1021/ic102015g,Hydrogen storage
1486,1486,588.0,588,Co3(ina)4(OH)(H2O)(C3H7OH)2·C3H7OH·(H2O)3<|>1 ⊃ PrOH,OXAPAF,Hydrogen Storage,Investigated,"""The H2storage capacity and magnetic properties of1have also been characterized."" ""The H2uptake of 1.9 wt % at 1 bar is appreciably higher than the value of microporous zeolites and aluminophosphates,but lower than that of MOF-505, [Cu2(bptc)] or PCN-12, which show high capacities of H2uptake (2.5−3.0 wt %) under similar conditions (77 K and 1 bar).""",10.1021/ic102015g,Hydrogen storage
1487,1487,589.0,589,Co3(ina)4(OH)(CH3OH)3·CH3OH·(H2O)7<|>1 ⊃ MeOH,OXANUX,Hydrogen Storage,Investigated,"The activated 1 shows a relatively high H2 absorption at low pressure. The investigation of 1 implies that the multiple metal active sites of the SBUs may improve the performance of PCPs, and the utilization of longer and bulky organic linkers is expected to be more profitable for gas storage.",10.1021/ic102015g,Hydrogen storage
1496,1496,598.0,598,Zn4O(C8H2O4S2)3<|>IRMOF-20,VEBHUG,Hydrogen Storage,Investigated,"The data presented here suggest that, with the exception of imparting catenation, the role of the links in dihydrogen adsorption is rather minor under these conditions.",10.1021/ja056639q,Hydrogen storage
1498,1498,600.0,600,Cd3(NCS)6(pzmo)2<|>compound 1,QEKBEO,Optical Devices,Recommended,"""Our strategy of rational design and synthesis of noncentric coordination compounds is to employ the asymmetric ligand pyrazine-monoxide (pzmo) as the bridging ligand to create compounds with promising NLO properties."" ""The observed SHG efficiency of this complex is 4.0 times that of potassium dihydrogen phosphate (KDP), which confirmed its acentricity.""",10.1021/cg060037g,Nonlinear optical (NLO) properties
1505,1505,607.0,607,"[Co3(2,4-pydc)2(μ3-OH)2]·5nnH2O<|>compound 1",CIWYUD,Hydrogen Storage,Investigated,The most striking feature of these porous frameworks is their sorption capability to hydrogen.,10.1021/ic700559z,Hydrogen storage
1506,1506,608.0,608,"[Co3(2,4-pydc)2(μ3-OH)2(H2O)]·7nnH2O<|>compound 2",CITZIP,Hydrogen Storage,Investigated,The most striking feature of these porous frameworks is their sorption capability to hydrogen.,10.1021/ic700559z,Hydrogen storage
1518,1518,620.0,620,JLU-Liu3,XOLSUO,Carbon Capture,Recommended,"JLU-Liu3 and JLU-Liu4 MOFs show highly selective CO2 uptake over N2 and CH4, and the selectivity ratios for CO2 over CH4 are 23 and 15, and CO2 over N2 are 74 and 97, which render these two novel kinds of MOFs promising candidates for high selective separation of CO2.",10.1021/cg500091k,CO2 capture and separation
1541,1541,643.0,643,Zn(H2L‘)(bpy)<|>4,DIJZOM,Photoluminescence,Recommended,All four coordination polymers exhibit intense blue fluorescence emissions and may be suitable as excellent candidates of blue fluorescent materials.,10.1021/cg060572g,Blue fluorescent materials
1542,1542,644.0,644,[Fe(ppt)2]·4H2O<|>PCP-N·4H2O,ODEPOF,Carbon Capture,Recommended,"The sorption isotherm of CO2 at 195 K was also investigated... The saturated amount of CO2 adsorption (at point J) is about 214 mL (STP) g–1 (ca. 5 molecules per Fe2+)... This result indicates that atomic exchange in a ligand can change the rigid framework into a flexible framework and enhance the adsorption amount of N2, C2H2, and CO2.",10.1021/jacs.5b09666,CO2 adsorption
1543,1543,645.0,645,[Fe(ppt)2]·4C2H2<|>PCP-N·4C2H2,ODEPUL,Carbon Capture,Recommended,"As observed in the crystal structures, the flexible PCP-N can adsorb five CO2 molecules for each formula, whereas it can adsorb only four C2H2 molecules, which can be explained by the different interactions among host and guest. C2H2 provides acidic H atoms at both molecular ends while CO2 provides an electropositive central C atom to interact with the frameworks. These differences allow forming different types of molecular clusters especially a T-shaped dimer of CO2–CO2, resulting in a larger sorption amount of CO2.",10.1021/jacs.5b09666,CO2 adsorption
